country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,1.52,7.47,13,14.6,16.6,18.8,19,19.2,,,18.7,18.6,18.2,,,,17.7,17.7,17.7,17.5,
Afghanistan,,,,,,,0.00085,0.0009,0.00197,0.00193,0.00189,0.00364,0.0053,,0.00491,0.00474,0.00457,0.0209,0.0254,0.0257,0.0435,0.052,0.068,0.0664,0.0796,0.0801
Angola,,,,,,,,,0.0373,0.0563,0.0739,0.0669,0.0644,0.0653,0.0815,0.0852,0.323,0.545,0.29,0.321,0.35,0.368,0.363,0.391,0.387,0.374
Albania,,,,,,,,0.00884,,0.331,2.14,3.11,3.6,4.4,5.5,6.28,7.16,8.38,9.19,10.5,12.5,15.1,17.7,19.6,20.7,22.5
Andorra,,,,,1.73,5.18,8.45,13.4,18.4,22.6,24.8,27.3,30.4,33.1,35,36.9,39,42.5,45,46.5,47.4,47.5,48.7,50.3,51.2,51.7
UAE,,0.0118,0.0565,0.225,0.42,0.723,1.27,2.77,4.8,6.75,8.85,10.3,11.3,12,12.7,13.3,13.3,14.2,14.4,29.9,32.4,32.5,34.3,36.5,36.8,37.1
Argentina,,,,0.25,0.389,0.674,1.4,2.36,4,6.5,7.71,8.59,9.76,11,12.2,14.7,15.2,15.8,16.5,17.7,19,19.6,21.2,23.1,24.7,25.4
Armenia,,,,0.00019,0.00026,0.00033,0.0331,0.0662,,0.131,0.466,1.35,3.19,5.49,7.26,8.32,9.34,9.8,10.2,10.8,11.9,13.3,14.9,16.3,17.7,18.5
Antigua and Barbuda,,,,,,,2.11,7.29,1.91,2.77,6.01,19,8.34,6.95,15,17.8,12.1,11.2,10.3,9.95,,8.76,8.71,8.66,10.7,
Australia,,,,0.634,1.32,2.61,5.05,9.93,18.9,,24.9,24,24.9,24.7,25.1,25.7,27.7,28.5,30.3,32,33.5,34.5,35.3,35.8,36.4,36.6
Austria,,0.637,2.38,3.99,5.58,7.4,10.6,14.3,17.3,19.5,20.8,22.5,24.5,25,25.3,26.3,27.6,28.4,28.9,28.5,28.5,28.4,29.2,29.3,29.2,29.4
Azerbaijan,,,,,0.012,,,0.0254,0.0454,0.165,0.671,1.11,5.2,10.5,14.6,18,19.7,19.5,18.3,18.1,18.8,19.2,19.6,20.1,20.4,20.9
Burundi,,,,,,,,,,,0.00188,0.00179,0.00375,0.00511,0.00697,0.0147,0.0157,0.0251,0.0289,0.034,0.0332,0.0318,0.0335,0.0305,0.0301,0.0203
Belgium,0.107,0.225,1.41,4.47,7.89,12,15.5,19.2,23.2,25.7,27.8,29.2,30.8,32.1,33.2,34.3,35.8,36.5,37.7,38.5,39.4,40,41,43,43.6,43.7
Benin,,,,,0.00027,0.00027,0.00099,0.00233,0.0172,0.00793,0.0913,0.2,0.276,0.372,0.402,0.397,0.412,0.645,0.191,0.238,0.218,0.2,0.229,0.154,0.153,0.171
Burkina Faso,,,,,0.00039,0.00111,0.00114,0.00276,0.0119,0.0454,0.0673,0.0761,0.0847,0.0844,0.0834,0.0732,0.0297,0.0498,0.064,0.0621,0.0676,0.0573,0.0651,0.0741,0.0669,
Bangladesh,,,,,,,,,,0.0295,0.0335,0.21,0.272,0.305,0.387,0.974,1.96,3.07,4.1,4.5,4.92,4.9,6.05,6.64,7.17,7.89
Bulgaria,,,,,,,0.0858,2.15,5.03,8.29,11.2,13.3,15.1,17,18.2,19.6,20.5,22.5,23.8,25.4,27.1,28.9,30.5,32.8,35,37
Bahrain,,,,0.168,0.662,1.2,1.72,2.3,3.88,6.45,8.35,11.8,12.8,24.2,24.3,23.9,21.9,18.5,16.3,13.1,8.43,9.49,10.2,16.5,18,17.2
Bahamas,,,,1.26,2.27,3.26,3.77,3.89,4.76,5.8,7.12,8.71,6.72,4.17,20.8,19.1,20.2,21,21.9,22.2,20.7,20.9,21,20.7,21.1,23.8
Bosnia and Herzegovina,,,0.00065,0.00163,0.00509,0.0359,0.16,0.334,0.984,2.11,4.77,7.53,10.3,11.5,12.8,14.3,15.2,18,19.1,20.4,21.2,22.3,23.4,24.6,27.3,28.5
Belarus,,,,,0.0002,0.00125,0.0077,0.0162,0.119,1.78,5.02,11.5,17.6,22.1,26.8,29.4,28.3,30.6,32.3,33.3,33.8,34.1,34.8,35,34.1,35.1
Belize,,,,,,0.356,1.04,1.8,2.52,2.53,2.64,2.67,2.78,2.96,2.98,2.9,2.84,4.88,5.04,5.09,6.49,7.67,9.21,9.11,9.75,
Bermuda,,,,,,,,29.5,37.6,45.7,53.6,62.9,62.9,,,63.1,54.7,47.3,35.9,35.9,,35.9,35.7,35.6,35.6,
Bolivia,,,,,0.0374,0.0634,0.0948,0.139,0.185,0.351,0.805,0.96,0.942,0.711,1.11,1.44,1.59,1.64,2.57,3.35,4.38,6.4,7.89,9.45,11,
Brazil,0.00058,0.00403,0.0575,0.188,0.41,0.535,1.73,1.75,2.55,4.04,5.26,6.11,7.28,9.13,9.71,10.8,12,12.6,13.2,14.1,15.2,15.9,17.4,19.8,21,22.4
Barbados,,,,,,10.3,11.1,11.9,14.4,17.4,18,20.9,20.4,22.7,24.2,24.4,27.9,28.1,31.1,31.9,31.8,38,45.4,36.4,37.5,
Brunei,,,,0.569,0.811,1.11,1.77,2.26,2.46,3.13,4.47,5.2,5.53,5.81,4.89,6.7,7.26,8.15,8.45,9.49,11.3,12.2,15.9,17.6,19.8,20.2
Bhutan,,,,,,,,,,,0.3,0.487,1.24,1.87,2.34,2.82,3.41,3.76,2.2,2.21,1.42,1.15,0.414,0.365,0.632,1.32
Botswana,,,,,,,,0.087,0.096,0.185,0.456,0.502,0.589,0.922,1.05,1.01,1.53,1.67,2.64,1.43,1.74,2.1,3.59,5.55,4.53,3.41
Central African Republic,,,,,,,,,,,,,,0.0177,0.0131,,,0.0401,0.0156,0.0129,0.0125,0.0101,,0.00976,0.0161,
Canada,0.464,1.91,4.57,9.09,11.1,14.2,16.9,21.6,24.6,27.4,29.4,30.4,31.6,32.7,33.5,34.3,35.3,36.5,36.8,37.8,38.7,40.1,40.8,41.7,42.2,42.5
Switzerland,,,0.785,1.94,6.25,10.7,16.6,22.5,27.4,31.6,33.5,35.4,37.2,38.9,40.2,42.5,43.2,44.7,45.1,46.3,45.6,46.9,46.5,47.9,46.7,47.7
Chile,,,0.0495,0.425,1.19,2.2,2.96,4.33,6.13,7.81,8.48,9.73,10.4,11.6,12.4,13,13.9,15.1,15.9,16.5,17.2,17.9,19.4,22,22.8,23
